Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Angle in,Path length,Comment,InputAngle
3,0.0,-4.7520837897,-1.2256472967,0.0,0.9387238991,0.344670047,0.0,-0.7321530251,-0.6811401822,22.098936015,0.95219693204,Cornea Back / Aqueous,80.0
4,0.0,-1.413979944,0.0,0.0,0.9387238991,0.344670047,0.0,0.0,-1.0,69.838344486,3.5560017689,Pupil Vignetted,80.0
5,0.0,-1.2175467872,0.07212410962,0.0,0.8975577584,0.4408968931,0.0,-0.1167901335,-0.9931566164,63.131456489,0.20925551917,Lens Front,80.0
6,0.0,3.3774807214,2.3292862067,0.0,0.9211500455,0.3892076485,-0.0,-0.3842507927,-0.9232287519,41.241643112,5.1194783462,Lens Back / Vitreous,80.0
7,0.0,11.445857555,5.7383659648,0.0,0.9211500455,0.3892076485,0.0,-0.978726537,0.205169115,34.744605014,8.7590256039,Retina,80.0
OBJ,inf,inf,inf,0.0,0.0871557427,0.9961946981,,,,,,,5.0
1,0.0,-0.37944143961,-4.9065,0.0,0.0871557427,0.9961946981,0.0,0.0,-1.0,5.0,-0.0,Input beam,5.0
2,0.0,-0.29146980155,-3.9009795757,0.0,0.0736512607,0.9972840577,0.0,-0.037863196,-0.9992829321,2.830079987,1.0093613489,Cornea Front,5.0
3,0.0,-0.25003925512,-3.3399841077,0.0,0.0746176466,0.9972122175,0.0,-0.0401023725,-0.9991955763,1.92541789,0.56252324875,Cornea Back / Aqueous,5.0
4,0.0,-0.00012078298159,0.0,0.0,0.0746176466,0.9972122175,0.0,0.0,-1.0,4.27925351,3.3493212868,Pupil,5.0
5,0.0,-0.00012078292808,7.1512331933e-10,0.0,0.0702583864,0.9975288262,0.0,-1.18415e-05,-0.9999999999,4.278575044,7.1712250085e-10,Lens Front,5.0
6,0.0,0.22282983991,3.1654537551,0.0,0.0721232539,0.997395727,-0.0,-0.0407171432,-0.9991707133,1.695262648,3.173295519,Lens Back / Vitreous,5.0
7,0.0,1.4621330149,20.303833183,0.0,0.0721232539,0.997395727,-0.0,-0.1289171507,-0.9916553677,3.27107403,17.183128987,Retina,5.0
OBJ,inf,inf,inf,0.0,0.2588190451,0.9659258263,,,,,,,15.0
1,0.0,-1.1621051599,-4.9065,0.0,0.2588190451,0.9659258263,0.0,0.0,-1.0,15.0,-0.0,Input beam,15.0
2,0.0,-0.88062291175,-3.8559939483,0.0,0.2194311674,0.9756279838,0.0,-0.114243489,-0.9934527796,8.440007412,1.0875638927,Cornea Front,15.0
3,0.0,-0.75536898315,-3.2990938542,0.0,0.2222494747,0.9749898312,0.0,-0.121035178,-0.9926482185,5.723775533,0.57081193185,Cornea Back / Aqueous,15.0
4,0.0,-0.0033387027324,0.0,0.0,0.2222494747,0.9749898312,0.0,0.0,-1.0,12.84118991,3.3837212948,Pupil,15.0
5,0.0,-0.0033385781853,5.4637763054e-07,0.0,0.209282889,0.9778551387,0.0,-0.0003273115,-0.9999999464,12.82243634,5.60393158e-07,Lens Front,15.0
6,0.0,0.66649658851,3.1297440384,0.0,0.2149787791,0.9766187202,-0.0,-0.1185771202,-0.9929448457,5.270339768,3.2006207955,Lens Back / Vitreous,15.0
7,0.0,4.2832673229,19.560230904,0.0,0.2149787791,0.9766187202,-0.0,-0.3761657821,-0.9265523754,9.682101305,16.823850011,Retina,15.0
OBJ,inf,inf,inf,0.0,0.4226182617,0.906307787,,,,,,,25.0
1,0.0,-2.0223928676,-4.9065,0.0,0.4226182617,0.906307787,0.0,0.0,-1.0,25.0,-0.0,Input beam,25.0
2,0.0,-1.4884795385,-3.7615191707,0.0,0.360690906,0.932685408,0.0,-0.192564025,-0.9812844115,13.897544274,1.2633465647,Cornea Front,25.0
3,0.0,-1.2764091076,-3.2131410633,0.0,0.3651222182,0.9309595941,0.0,-0.2041229162,-0.9789452666,9.364472761,0.58795613469,Cornea Back / Aqueous,25.0
4,0.0,-0.016215647017,0.0,0.0,0.3651222182,0.9309595941,0.0,0.0,-1.0,21.415104413,3.4514291316,Pupil,25.0
5,0.0,-0.016210594886,1.2881521219e-05,0.0,0.3438871543,0.9390109824,0.0,-0.0015892677,-0.9999987371,21.324046042,1.3836820955e-05,Lens Front,25.0
6,0.0,1.1049680697,3.0614796041,0.0,0.3536142212,0.9353913526,-0.0,-0.1872323606,-0.9823156535,9.322566534,3.2603098153,Lens Back / Vitreous,25.0
7,0.0,6.8070476922,18.144798235,0.0,0.3536142212,0.9353913526,-0.0,-0.5937791445,-0.8046280678,15.717111848,16.125142261,Retina,25.0
OBJ,inf,inf,inf,0.0,0.5735764364,0.8191520443,,,,,,,35.0
1,0.0,-3.036824951,-4.9065,0.0,0.5735764364,0.8191520443,0.0,0.0,-1.0,35.0,-0.0,Input beam,35.0
2,0.0,-2.1275918522,-3.6079805623,0.0,0.4945614363,0.8691426728,0.0,-0.2740274205,-0.9617218792,19.095936836,1.5851995326,Cornea Front,35.0
3,0.0,-1.8233453131,-3.0732974454,0.0,0.5002204761,0.8658980744,0.0,-0.2906802345,-0.9568202555,12.742150053,0.6151845187,Cornea Back / Aqueous,35.0
4,0.0,-0.047932759775,0.0,0.0,0.5002204761,0.8658980744,0.0,0.0,-1.0,30.014587652,3.5492600528,Pupil,35.0
5,0.0,-0.047867874267,0.00011231894586,0.0,0.4713051498,0.8819702125,0.0,-0.004692767,-0.9999889889,29.74571092,0.00012971381872,Lens Front,35.0
6,0.0,1.5368186164,2.9655929242,0.0,0.4851439515,0.8744343008,-0.0,-0.2442752126,-0.9697059454,13.980044931,3.3623364635,Lens Back / Vitreous,35.0
7,0.0,8.8754977161,16.192992149,0.0,0.4851439515,0.8744343008,-0.0,-0.768250584,-0.6401492328,21.175147541,15.126807369,Retina,35.0
OBJ,inf,inf,inf,0.0,0.7071067812,0.7071067812,,,,,,,45.0
1,0.0,-4.3370355006,-4.9065,0.0,0.7071067812,0.7071067812,0.0,0.0,-1.0,45.0,-0.0,Input beam,45.0
2,0.0,-2.8101484592,-3.3796129586,0.0,0.6183390941,0.7859114229,0.0,-0.3596298108,-0.9330950644,23.922536817,2.1593443622,Cornea Front,45.0
