Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
OBJ,inf,inf,inf,0.0,0.5735764364,0.8191520443,-----,,,,,,,35.0
1,0.0,-3.036824951,-4.9065,0.0,0.5735764364,0.8191520443,"0,0000000000",0.0,-1.0,35.0,-0.0,Inputbeam,,35.0
2,0.0,-2.1275918522,-3.6079805623,0.0,0.4945614363,0.8691426728,"0,0000000000",-0.2740274205,-0.9617218792,19.095936836,1.5851995326,CorneaFront,,35.0
3,0.0,-1.8233453131,-3.0732974454,0.0,0.5002204761,0.8658980744,"0,0000000000",-0.2906802345,-0.9568202555,12.742150053,0.6151845187,CorneaBack/Aqueous,,35.0
4,0.0,-0.047932759775,0.0,0.0,0.5002204761,0.8658980744,"0,0000000000",0.0,-1.0,30.014587652,3.5492600528,Pupil,,35.0
5,0.0,-0.047867874267,0.00011231894586,0.0,0.4713051498,0.8819702125,"0,0000000000",-0.004692767,-0.9999889889,29.74571092,0.00012971381872,LensFront,,35.0
6,0.0,1.5368186164,2.9655929242,0.0,0.4851439515,0.8744343008,"-0,0000000000",-0.2442752126,-0.9697059454,13.980044931,3.3623364635,LensBack/Vitreous,,35.0
7,0.0,8.9556311158,16.337426379,0.0,0.4851439515,0.8744343008,"-0,0000000000",-0.752246418,-0.6588818761,19.763441893,15.291981848,Retina,,35.0
OBJ,inf,inf,inf,0.0,0.7071067812,0.7071067812,-----,,,,,,,45.0
1,0.0,-4.3370355006,-4.9065,0.0,0.7071067812,0.7071067812,"0,0000000000",0.0,-1.0,45.0,-0.0,Inputbeam,,45.0
2,0.0,-2.8101484592,-3.3796129586,0.0,0.6183390941,0.7859114229,"0,0000000000",-0.3596298108,-0.9330950644,23.922536817,2.1593443622,CorneaFront,,45.0
3,0.0,-2.4053896917,-2.8651629717,0.0,0.6247162824,0.7808518211,"0,0000000000",-0.3817502765,-0.9242655065,15.752806493,0.65459029078,CorneaBack/Aqueous,,45.0
4,0.0,-0.11313152954,0.0,0.0,0.6247162824,0.7808518211,"0,0000000000",0.0,-1.0,38.661366368,3.6692787216,Pupil,,45.0
5,0.0,-0.1126340273,0.0006218431294,0.0,0.5890185587,0.808119507,"0,0000000000",-0.0110404439,-0.9999390524,38.028782675,0.00079636508827,LensFront,,45.0
6,0.0,1.9621973297,2.8472413062,0.0,0.6067493158,0.794893243,"-0,0000000000",-0.2900015928,-0.9570261628,19.22934166,3.5225228924,LensBack/Vitreous,,45.0
7,0.0,10.522514531,14.061985392,0.0,0.6067493158,0.794893243,"-0,0000000000",-0.8838599716,-0.4677515907,24.756727214,14.108490901,Retina,,45.0
OBJ,inf,inf,inf,0.0,0.8191520443,0.5735764364,-----,,,,,,,55.0
