Surf,X-coordinate,Y-coordinate,Z-coordinate,X-cosine,Y-cosine,Z-cosine,X-normal,Y-normal,Z-normal,Anglein,Pathlength,Comment,Unnamed: 13,InputAngle
5,0.0,-1.7693542279,0.15107659092,0.0,0.9221518923,0.3868279817,"0,0000000000",-0.1658288295,-0.9861545514,63.856017492,0.52885950235,LensFront,,85.0
6,0.0,4.0872837522,2.6078426274,0.0,0.9374282822,0.348178425,"-0,0000000000",-0.5629958836,-0.8264596996,32.979492103,6.3510556436,LensBack/Vitreous,,85.0
7,0.0,11.62885407,5.4089231208,0.0,0.9374282822,0.348178425,"0,0000000000",-0.9690711725,0.2467814066,34.663073654,8.0449571029,Retina,,85.0
OBJ,inf,inf,inf,0.0,0.5,0.8660254038,-----,,,,,,,30.0
1,0.0,-2.3049565108,-4.55,0.0,0.5,0.8660254038,"0,0000000000",0.0,-1.0,30.0,-0.0,Inputbeam,,30.0
2,0.0,-1.6277072205,-3.3769698197,0.0,0.422477524,0.9063734008,"0,0000000000",-0.2096348808,-0.9777797384,17.899043811,1.3544985807,CorneaFront,,30.0
3,0.0,-1.4037985626,-2.8966014209,0.0,0.4282740511,0.9036489015,"0,0000000000",-0.2159690096,-0.9764002186,12.518719867,0.52998951468,CorneaBack/Aqueous,,30.0
4,0.0,-0.030987482068,0.0,0.0,0.4282740511,0.9036489015,"0,0000000000",0.0,-1.0,25.35807686,3.2054500549,Pupil,,30.0
5,0.0,-0.030965206043,4.7001925304e-05,0.0,0.4034445041,0.9150041159,"0,0000000000",-0.0030357607,-0.9999953921,25.184140316,5.2013481371e-05,LensFront,,30.0
6,0.0,1.6345308989,3.7773590617,0.0,0.4121272057,0.9111263174,"-0,0000000000",-0.2628430826,-0.9648385948,8.554860716,4.1281913319,LensBack/Vitreous,,30.0
7,0.0,7.8265913691,17.466698603,0.0,0.4121272057,0.9111263174,"-0,0000000000",-0.6522159474,-0.7580332169,16.370351149,15.024634103,Retina,,30.0
OBJ,inf,inf,inf,0.0,0.9396926208,0.3420201433,-----,,,,,,,70.0
1,0.0,-10.968759009,-4.55,0.0,0.9396926208,0.3420201433,"0,0000000000",0.0,-1.0,70.0,-0.0,Inputbeam,,70.0
2,0.0,-4.449762003,-2.1772791326,0.0,0.8581061904,0.5134722641,"0,0000000000",-0.5530044642,-0.8331782898,36.426623065,6.9373717123,CorneaFront,,70.0
3,0.0,-3.8264918921,-1.804327721,0.0,0.864352846,0.5028858295,"0,0000000000",-0.5886910603,-0.8083581109,23.040429646,0.72633214617,CorneaBack/Aqueous,,70.0
4,0.0,-0.7252396609,0.0,0.0,0.864352846,0.5028858295,"0,0000000000",0.0,-1.0,59.808890687,3.587947035,PupilVignetted,,70.0
5,0.0,-0.68571757578,0.022994193461,0.0,0.8204221047,0.5717583144,"0,0000000000",-0.0667564623,-0.9977692994,55.981180559,0.045724480808,LensFront,,70.0
6,0.0,3.5304919504,2.9613022157,0.0,0.8367610578,0.5475681986,"-0,0000000000",-0.5071353971,-0.8618663986,24.653862744,5.1390735354,LensBack/Vitreous,,70.0
7,0.0,11.999264227,8.503183422,0.0,0.8367610578,0.5475681986,"-0,0000000000",-0.9999386856,-0.0110736185,32.565856092,10.120896758,Retina,,70.0
